"topic","n_days","lifespan_hours","last_rolling_slope","kendall_tau","saturated","reason"
"4 Non Blondes - What's Up? (Lyrics)",7,240,10,1,FALSE,""
"Apple helped kill netbooks. Will it bring them back? - The Verge",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Flight cancelations to worsen next week if shutdown continues - CNBC",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"KT vs T1 | WORLDS 2025 | Finals",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"Michael | Official Trailer",7,240,10,1,FALSE,""
"Myke Towers - Lala (Letra)",7,240,2,1,FALSE,""
"New 3 TRACKS UPDATE + NEW BRAINROTS!",4,98.91,10,1,FALSE,""
"TVLine's Performer Of The Week: Rhea Seehorn - TVLine",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"The endearing movie that affirms creativity as a human act - The Verge",1,6,0,0,TRUE,"logistic_or_heuristic_short;low_rolling_slope;kendall_flat_or_decreasing;no_recent_growth"
"skibidi toilet: emergence | official trailer",7,240,10,1,FALSE,""
